note,model_type,n_params,MSE,MAE,RMSE,r
ACNN_v4_nopool,cnn,1073,0.18644575104117395,0.34865920543670653,0.4181594652125854,0.7496543690111279
ARNN_LSTM_v2_deep,rnn,20641,0.19977867379784583,0.3562577456235886,0.4398633912063662,0.743300349237007
ADense_v3_large,dense,11215,0.20944630801677705,0.37462928593158723,0.4529256296609369,0.7263870089360784
ARNN_LSTM_v3_largebatch,rnn,12193,0.21800451800227166,0.3689803838729858,0.4550885442307474,0.7290478954162364
ADense_v5_noscale,dense,8695,0.21950029879808425,0.36517920792102815,0.4530729720284022,0.7019949266769112
ACNN_v3_morefilters,cnn,4257,0.2302940271794796,0.36820835769176485,0.4714786070966145,0.6922439983899843
ADense_v4_smallbatch,dense,8695,0.24484508708119393,0.3826495185494423,0.4830975379212794,0.6722142983797872
ACNN_v5_smallkernel,cnn,1169,0.2623302936553955,0.38995295763015747,0.49995263312958044,0.633687259011391
ARNN_GRU_v3_smallhidden,rnn,3809,0.27541425451636314,0.4199261605739594,0.5125477858471552,0.6726225429100623
ARNN_GRU_v2_deep,rnn,15489,0.2837500751018524,0.39219034612178805,0.5162662747805544,0.6441555755216803
