fold,MSE,MAE,RMSE
1,0.40845945477485657,0.4604052007198334,0.6391083278872656
2,0.2181885838508606,0.3710320293903351,0.4671066086568039
3,0.38938724994659424,0.49148833751678467,0.6240090143151734
4,0.26327720284461975,0.39724355936050415,0.5131054500242809
5,0.15227347612380981,0.3052586019039154,0.3902223419075461
6,0.13459664583206177,0.30047672986984253,0.36687415530677786
7,0.13849028944969177,0.323452889919281,0.3721428347418391
8,0.27442970871925354,0.37838664650917053,0.5238603904851498
9,0.4232672452926636,0.5305088758468628,0.6505899209891463
10,0.6566157341003418,0.5845489501953125,0.8103182918460756
