r2,mae,mse
0.7201354407001418,0.08015458447768745,0.011853794696928509
0.7484616043428352,0.09230405857586355,0.013375496237505427
0.7403569576413119,0.08597189440355064,0.012891797517581006
0.7645786423752007,0.08743418062026764,0.01328190767149131
0.7795871519395201,0.07914301529851792,0.01086375444939786
0.7410074733418253,0.08519912654216585,0.012851547006005064
0.7242899706843511,0.09238467624920188,0.014460538342901352
0.785829029973846,0.07876219598808526,0.011086742387848417
0.755901049953181,0.08188909443080286,0.011774757852597654
0.7704921052630906,0.08434160400210214,0.012185147223581444
